train_diff,train_time,thisN,thisTrialN,thisRepN,slider_training.response,slider_training.rt,key_resp_train.keys,key_resp_train.rt,key_resp_train.duration,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trial2.thisRepN,prac_trial2.thisTrialN,prac_trial2.thisN,prac_trial2.thisIndex,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,wait_screen.started,text.started,key_resp_2.started,wait_screen.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions.started,intstructs.started,space_to_cont.started,instructions.stopped,space_to_cont.keys,space_to_cont.rt,space_to_cont.duration,new_ui.started,text_2.started,new_ui.stopped,training_instructions.started,text_3.started,training_instructions.stopped,fixation.started,fix.started,fixation.stopped,training_routine_1.started,textbox_3.started,slider_training.started,key_resp_train.started,training_routine_1.stopped,trial.outcome,trials_2.slider_training.response,trials_2.slider_training.rt,trials_2.key_resp_train.keys,trials_2.key_resp_train.rt,trials_2.key_resp_train.duration,feedback.started,feedback_practice_1.started,feedback.stopped,next_block.started,text_4.started,next_block.stopped,feedback_practice_1.stopped,text_4.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
easy2,5,1,0,1,None,None,4,0.4039331250005489,None,,,,,,,,,0,1,1,1,1,0,1,0,17.4969456660001,,,,,,,,,,,,,,,,,,,,,,17.485039625000354,17.4969456660001,17.992904499998986,17.995189125000252,18.014848290998998,18.014848290998998,18.014848290998998,18.43104829100048,Incorrect!,None,None,4,0.4039331250005489,None,18.43131233299937,18.442580540999188,19.43139641599919,,,,,,pilot,001,2026-01-31_19h44.53.422,misty_module,,2025.2.4,74.82619259762323,2026-01-31 19h44.53.967208 +0000,
easy2,5,2,0,2,None,None,4,0.05467162500099221,None,,,,,,,,,0,1,1,1,2,0,2,0,19.443540541000402,,,,,,,,,,,,,,,,,,,,,,19.43152395799916,19.443540541000402,19.937216541000453,19.94026145799944,19.94809633300065,19.94809633300065,19.94809633300065,20.004498291000345,Incorrect!,None,None,4,0.05467162500099221,None,20.00473120800052,20.01678341600018,21.004234041000018,,,,21.016814165999676,,pilot,001,2026-01-31_19h44.53.422,misty_module,,2025.2.4,74.82619259762323,2026-01-31 19h44.53.967208 +0000,
easy2,5,3,0,3,None,None,None,,,,,,,,,,,0,1,1,1,3,0,3,0,21.016814165999676,,,,,,,,,,,,,,,,,,,,,,21.00430954100011,21.016814165999676,21.514093540999966,21.516039957999965,21.52438308300043,21.52438308300043,21.52438308300043,21.516951416000666,,None,None,None,,,21.517454708000514,21.52438308300043,22.511523832999956,,,,22.524109457999657,,pilot,001,2026-01-31_19h44.53.422,misty_module,,2025.2.4,74.82619259762323,2026-01-31 19h44.53.967208 +0000,
easy2,5,1,1,0,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.512072957999408,22.524109457999657,23.51189633300055,,23.52445033299955,pilot,001,2026-01-31_19h44.53.422,misty_module,,2025.2.4,74.82619259762323,2026-01-31 19h44.53.967208 +0000,
med1,5,0,0,0,None,None,6,0.01959237499977462,None,,,,,,,,,0,2,2,2,0,0,0,0,23.52445033299955,,,,,,,,,,,,,,,,,,,,,,23.51386579099926,23.52445033299955,24.01981587499904,24.021081582999614,24.0321691249992,24.0321691249992,24.0321691249992,24.058667582999988,Incorrect!,None,None,6,0.01959237499977462,None,24.058957332999853,24.07167662500069,25.059089124999446,,,,,,pilot,001,2026-01-31_19h44.53.422,misty_module,,2025.2.4,74.82619259762323,2026-01-31 19h44.53.967208 +0000,
med1,5,1,0,1,None,None,5,0.1602767500007758,None,,,,,,,,,0,2,2,2,1,0,1,0,25.07162037499984,,,,,,,,,,,,,,,,,,,,,,25.059170291000555,25.07162037499984,25.56591537500026,25.5666262499999,25.578488375000234,25.578488375000234,25.578488375000234,25.73995108300005,Incorrect!,None,None,5,0.1602767500007758,None,25.740185374999783,25.751793540999643,26.739792708000095,,,,26.752231208000012,,pilot,001,2026-01-31_19h44.53.422,misty_module,,2025.2.4,74.82619259762323,2026-01-31 19h44.53.967208 +0000,
med1,5,2,0,2,None,None,4,0.11660979199950816,None,,,,,,,,,0,2,2,2,2,0,2,0,26.752231208000012,,,,,,,,,,,,,,,,,,,,,,26.739867958000104,26.752231208000012,27.24650862499948,27.24720354099918,27.259145750000243,27.259145750000243,27.259145750000243,27.380497374999322,Incorrect!,None,None,4,0.11660979199950816,None,27.380739207999795,27.39238487500006,28.380297125000652,,,,28.392825165999966,,pilot,001,2026-01-31_19h44.53.422,misty_module,,2025.2.4,74.82619259762323,2026-01-31 19h44.53.967208 +0000,
med1,5,3,0,3,None,None,None,,,,,,,,,,,0,2,2,2,3,0,3,0,28.392825165999966,,,,,,,,,,,,,,,,,,,,,,28.38037229099973,28.392825165999966,28.88713375000043,28.887870541000666,28.899688083,28.899688083,28.899688083,29.020643583000492,,None,None,None,,,29.02087554100035,29.03306741599954,30.020854832999248,,,,,,pilot,001,2026-01-31_19h44.53.422,misty_module,,2025.2.4,74.82619259762323,2026-01-31 19h44.53.967208 +0000,
med1,5,2,2,0,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.02140608300033,30.03343229100028,31.02120441599982,,,pilot,001,2026-01-31_19h44.53.422,misty_module,,2025.2.4,74.82619259762323,2026-01-31 19h44.53.967208 +0000,
med2,5,0,0,0,None,None,5,0.5459987920003186,None,,,,,,,,,0,3,3,3,0,0,0,0,31.033793208000134,,,,,,,,,,,,,,,,,,,,,,31.02338008299921,31.033793208000134,31.52846091599895,31.529841583000234,31.540759416000583,31.540759416000583,31.540759416000583,32.08900537499903,Incorrect!,None,None,5,0.5459987920003186,None,32.08925908299898,32.10088170800009,33.08872687499934,,,,33.1012197910004,,pilot,001,2026-01-31_19h44.53.422,misty_module,,2025.2.4,74.82619259762323,2026-01-31 19h44.53.967208 +0000,
med2,5,1,0,1,None,None,6,0.07999916700100584,None,,,,,,,,,0,3,3,3,1,0,1,0,33.1012197910004,,,,,,,,,,,,,,,,,,,,,,33.08880387499994,33.1012197910004,33.596836250000706,33.60017570799937,33.611758249999184,33.611758249999184,33.611758249999184,33.703141583000615,Incorrect!,None,None,6,0.07999916700100584,None,33.70340124999893,33.7152272910007,34.702751999999236,,,,34.71513050000067,,pilot,001,2026-01-31_19h44.53.422,misty_module,,2025.2.4,74.82619259762323,2026-01-31 19h44.53.967208 +0000,
med2,5,2,0,2,None,None,5,0.6629943750012899,None,,,,,,,,,0,3,3,3,2,0,2,0,34.71513050000067,,,,,,,,,,,,,,,,,,,,,,34.70282870799929,34.71513050000067,35.20950574999915,35.2125057079993,35.22076070799994,35.22076070799994,35.22076070799994,35.89034470799925,Incorrect!,None,None,5,0.6629943750012899,None,35.89059733300019,35.90229545799957,36.890111499998966,,,,36.90261291599927,,pilot,001,2026-01-31_19h44.53.422,misty_module,,2025.2.4,74.82619259762323,2026-01-31 19h44.53.967208 +0000,
med2,5,3,0,3,None,None,None,,,,,,,,,,,0,3,3,3,3,0,3,0,36.90261291599927,,,,,,,,,,,,,,,,,,,,,,36.89018654100073,36.90261291599927,37.39692129099967,37.39864024999952,37.40942270800042,37.40942270800042,37.40942270800042,37.39901574999931,,None,None,None,,,37.399210333000156,37.40942270800042,38.397328708000714,,,,38.409798916,,pilot,001,2026-01-31_19h44.53.422,misty_module,,2025.2.4,74.82619259762323,2026-01-31 19h44.53.967208 +0000,
med2,5,3,3,0,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.39787970799989,38.409798916,39.3976340829995,,39.41017320799983,pilot,001,2026-01-31_19h44.53.422,misty_module,,2025.2.4,74.82619259762323,2026-01-31 19h44.53.967208 +0000,
easy1,5,0,0,0,,,,,,,,,,,,,,0,4,4,0,0,0,0,0,39.41017320799983,,,,,,,,,,,,,,,,,,,,,,39.39961808299995,39.41017320799983,39.90448033299981,39.90512983299959,39.917042582999784,39.917042582999784,39.917042582999784,,,,,,,,,,,,,,,,,,,,,,,,
